iter	Passed	Remaining
0	5	1081
1	117	11664
2	120	7929
3	123	6045
4	125	4908
5	128	4154
6	130	3610
7	144	3462
8	154	3271
9	156	2979
10	235	4039
11	238	3732
12	240	3465
13	243	3236
14	354	4378
15	357	4112
16	370	3985
17	381	3862
18	384	3661
19	387	3483
20	390	3327
21	394	3192
22	405	3124
23	447	3279
24	512	3590
25	570	3820
26	576	3695
27	590	3629
28	594	3504
29	596	3382
30	599	3269
31	601	3160
32	604	3059
33	607	2964
34	609	2874
35	612	2789
36	614	2708
37	677	2886
38	680	2811
39	683	2735
40	733	2844
41	736	2772
42	739	2700
43	801	2843
44	918	3163
45	1002	3355
46	1006	3275
47	1008	3194
48	1011	3116
49	1021	3064
50	1024	2991
51	1026	2922
52	1029	2854
53	1031	2790
54	1034	2727
55	1037	2666
56	1039	2608
57	1042	2551
58	1044	2497
59	1047	2444
60	1050	2392
61	1092	2431
62	1097	2387
63	1120	2380
64	1218	2530
65	1253	2544
66	1314	2609
